"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_14_33_PMX_462_2#22#2023_A_13B_7.OKA","2/22/2023 4:35:28 PM","13-B","PM14A","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.0000,"25.3207","29.5752","41.5317","57.1317","20.2876","17.8924","19.1262","21.7066","24.3797","29.6107","34.5836","37.2718","21.6198","19.1255","20.6264","16.1126","21.7416","14.5422","18.0101","16.5267","15.5043","13.2597","16.8265","26.0880","23.7222","19.8961","14.5325","11.0000","12.7108","12.5247","15.6424","12.7142","14.5600","14.6813","18.5731","22.2500","19.9392","19.0253","14.2027","11.0000","14.4571","11.1540","11.3415","11.8619","14.1768","16.6844","16.6080","28.6422","21.1000","16.1656","13.6417","11.1273","11.1594","12.0309","11.0000","11.0000","12.0296","14.6495","12.8713","31.6368","17.5451","12.8791","11.4902","12.5425","11.0000","11.0000","11.0000","11.0000","12.6606","19.3730","28.7299","79.2194","22.9570","17.6911","14.8527","11.7800","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4966","20.5602","13.6482","12.5442","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4183","19.1496","45.3569","31.5755"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_14_33_PMX_462_2#22#2023_A_13B_7.OKA","2/22/2023 4:35:28 PM","13-B","PM14A","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.2500,"25.9747","32.5855","44.4273","61.2623","19.8755","19.9193","20.4617","18.8832","22.2975","28.4763","40.0640","38.8311","24.4725","21.3696","20.3858","19.0490","20.4149","13.9010","17.0502","11.6513","13.6788","16.3960","16.2845","25.4432","19.2881","17.6119","15.6030","12.2711","12.4972","11.0614","16.8567","11.5203","15.7614","14.1153","18.2198","23.1560","18.7176","17.8503","17.4530","11.0000","11.5327","12.5404","11.0000","11.0000","11.0000","14.4225","16.7930","28.7033","19.5026","14.9862","12.8815","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1773","16.1371","33.5419","18.1043","11.0663","11.0000","12.2582","11.0000","11.0000","11.0000","11.0000","15.6885","21.1300","32.6908","59.1368","22.5731","18.6862","14.3029","14.2312","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4585","19.2319","18.1910","11.1026","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7500","19.3537","49.1780","36.1418"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_14_33_PMX_462_2#22#2023_A_13B_7.OKA","2/22/2023 4:35:28 PM","13-B","PM14A","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.5000,"26.3580","32.6011","44.9120","61.5664","22.6260","17.9808","17.2610","20.2098","23.5889","28.8371","43.1517","38.7174","24.2094","18.7100","16.8587","15.5879","18.5213","13.9869","14.5188","14.3384","14.3431","14.7818","16.0138","23.4401","20.1056","18.8675","14.9532","13.4086","14.0837","11.0000","19.3467","11.6749","14.4206","13.2427","20.8054","21.3234","16.9749","16.9285","14.1675","11.0000","11.5944","11.0000","11.0000","11.0000","11.0000","13.2701","15.1121","25.2199","16.6902","13.8777","13.8797","11.0000","12.6858","11.0000","11.0000","11.0000","11.0000","11.0000","20.0471","20.2255","17.6643","11.0000","11.0000","13.8890","11.0000","11.0000","11.0000","11.0000","13.8859","22.4075","32.0076","52.4909","23.1612","19.1776","11.0000","13.1792","11.0000","11.0000","11.0000","11.0000","46.2025","11.0000","22.5466","21.8541","14.3639","11.0000","11.4465","11.0000","11.0000","11.0000","11.0000","11.0000","12.1535","18.4451","41.6619","41.5124"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_14_33_PMX_462_2#22#2023_A_13B_7.OKA","2/22/2023 4:35:28 PM","13-B","PM14A","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.7500,"25.6691","35.5164","46.5551","79.5435","23.2219","19.9458","19.3688","16.2844","25.8723","31.9518","47.3943","43.7177","25.0554","22.1931","20.3723","21.9614","23.1075","11.2161","15.6213","15.3690","16.3309","17.2204","18.0141","27.7465","22.4988","21.0637","15.9504","11.5590","14.6411","11.8573","21.3469","12.4387","24.0133","14.4402","20.9954","26.0938","19.1671","18.7794","13.7806","11.0000","11.8482","14.3764","11.0000","11.0000","11.8802","13.3999","14.8521","30.2225","18.0447","17.0460","15.1398","11.0000","11.0000","11.0000","11.0000","11.7717","11.0000","12.1407","18.4149","21.5144","16.4905","12.4295","14.0462","14.6529","11.0000","11.0000","11.0000","11.0000","16.0705","23.4910","33.8544","48.8187","23.8224","19.6094","15.4925","20.0136","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5159","22.5258","19.4176","11.0000","12.1010","11.0000","11.0000","11.0000","11.0000","11.0000","15.0038","20.5933","42.1466","48.1879"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_14_33_PMX_462_2#22#2023_A_13B_7.OKA","2/22/2023 4:35:28 PM","13-B","PM14A","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.0000,"25.0755","32.4544","44.7012","78.5423","23.1481","19.9017","18.0017","20.4081","23.0428","30.4756","45.7525","46.9429","23.0429","17.9043","18.4183","18.4534","16.8411","11.4641","13.9183","12.0608","12.9710","12.0121","17.1198","27.1504","20.2748","19.9871","17.6516","11.6230","15.4640","11.8596","24.1318","12.1342","13.9613","12.2940","19.4203","25.3788","15.0002","16.4265","12.6911","11.0000","11.0000","11.0000","11.0000","11.0000","12.2462","17.4899","15.8189","28.5739","15.0525","14.4177","14.5245","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1757","11.0000","19.2296","14.3127","11.0000","11.2296","13.1912","11.0000","11.0000","11.0000","11.0000","11.0000","19.6829","28.7900","39.9766","22.7044","19.9135","18.3842","18.6659","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3260","23.2074","15.2880","11.0344","12.9971","11.0000","11.0000","11.0000","11.0000","11.0000","14.1889","16.6641","37.0635","43.9785"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_14_33_PMX_462_2#22#2023_A_13B_7.OKA","2/22/2023 4:35:28 PM","13-B","PM14A","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.2500,"26.4467","32.4018","42.6785","64.9458","21.2351","19.1282","17.3409","17.4542","24.7890","30.0516","45.3547","48.6476","22.1429","19.7765","17.4721","13.9252","18.0637","15.8281","13.6229","14.6288","13.7924","14.8321","19.0993","27.0978","19.3966","16.8857","12.3194","11.0000","12.8961","14.0866","24.5380","11.0000","14.8924","15.4024","20.7882","23.6435","17.9363","17.4051","15.4822","11.0000","13.5374","13.0345","11.0000","12.3564","11.1523","15.5552","16.1618","28.2383","16.1644","16.1364","13.0757","11.0000","11.0000","11.0000","11.0000","11.0000","14.6045","11.0000","12.8662","17.9127","15.9141","12.6952","12.4744","14.6813","11.0000","11.0000","11.1580","11.0000","14.2255","23.0448","30.5896","36.7756","23.1215","21.3461","15.4080","21.1872","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8082","22.0609","13.3841","11.2756","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8398","17.2722","31.7019","44.9487"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_14_33_PMX_462_2#22#2023_A_13B_7.OKA","2/22/2023 4:35:28 PM","13-B","PM14A","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.5000,"25.6582","28.8664","44.3560","60.4235","16.4868","17.7264","15.9491","15.1471","21.8870","28.8712","46.1545","50.1266","25.0298","17.4675","17.2942","14.0723","16.3474","13.3216","14.8125","12.0575","13.4552","15.5541","16.1837","24.3801","17.1057","15.2942","15.1039","11.0000","12.1645","11.0000","27.0928","11.0000","11.0000","15.1652","18.7146","26.1197","19.4843","18.6338","11.0000","11.0000","11.0000","12.4481","11.0000","11.0000","12.2139","17.8153","13.9112","29.3816","19.8448","14.3554","14.2778","11.0000","11.0000","11.0000","11.0000","11.0000","12.0649","11.0000","13.0225","15.2914","16.2178","14.2420","11.0000","12.2312","11.0000","11.0000","11.0000","11.0000","13.9131","20.3610","28.0061","33.6425","25.4251","20.0137","15.7726","21.6421","11.0000","11.0000","11.0000","11.0000","11.0000","12.0296","13.8368","22.4303","14.4802","11.0000","13.6432","11.0000","11.0000","11.0000","11.0000","11.0000","12.8172","17.6352","29.8625","41.4507"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_14_33_PMX_462_2#22#2023_A_13B_7.OKA","2/22/2023 4:35:28 PM","13-B","PM14A","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.7500,"26.8189","30.1296","43.0543","60.9628","20.1689","17.2781","17.3806","17.5899","22.4603","31.5570","47.7051","53.1758","22.8689","15.5381","17.6247","15.9552","17.5292","14.2391","14.6383","14.3433","15.9718","17.1541","15.8204","31.1920","18.7184","18.3929","14.6131","11.0000","12.3792","11.0000","28.6079","11.7021","11.0000","18.0599","19.8037","28.2764","17.9996","16.5064","12.8991","11.0000","11.0628","11.5546","11.0000","11.0000","11.0000","15.4100","13.0056","33.1658","15.6703","11.0652","15.9574","11.1586","11.0000","11.0000","11.0000","11.0000","11.6705","14.5735","13.2064","16.3390","17.8946","13.4615","11.0000","11.4533","11.0000","11.0000","11.0000","11.0000","11.0000","20.8193","25.8972","33.8626","20.8845","17.2336","15.3104","24.6208","11.0000","11.0000","11.0000","11.0000","12.3300","11.0000","15.0956","22.0694","13.8294","12.7883","11.4851","11.0000","11.0000","11.0000","11.0000","11.0000","11.0313","17.0205","32.1799","41.1418"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_14_33_PMX_462_2#22#2023_A_13B_7.OKA","2/22/2023 4:35:28 PM","13-B","PM14A","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",2.0000,"26.1219","34.4851","45.1919","67.5176","23.5297","18.1705","17.7038","16.8764","22.1166","31.0770","46.5583","47.9109","23.8339","20.8110","18.3808","16.7282","19.9917","13.0445","15.5528","15.7109","14.2024","16.9670","16.3860","27.1853","19.3130","20.8395","13.4859","12.2106","14.8178","11.3070","11.0000","11.0000","14.3684","16.0155","18.0318","23.6156","20.4368","16.0494","14.1216","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6717","15.4584","28.1869","15.7129","12.0745","15.5196","11.0000","11.0000","11.0000","11.0000","11.0000","12.2480","11.5260","12.5686","16.2436","15.1621","11.9007","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.2708","24.2622","34.6327","22.8789","20.7522","17.6438","26.8009","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0604","23.1700","16.4049","12.4423","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5944","16.4605","30.1362","41.4529"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_14_33_PMX_462_2#22#2023_A_13B_7.OKA","2/22/2023 4:35:28 PM","13-B","PM14A","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",2.2500,"26.5597","32.3392","43.9019","62.6733","22.1698","21.9100","21.6957","20.3114","23.2179","30.1439","46.4526","49.5143","22.8763","21.0018","18.8038","18.1390","17.5762","15.0999","15.8678","14.7167","17.1087","14.5475","15.2537","24.5406","20.5878","21.5808","14.0285","13.1690","12.2575","16.0108","11.0000","11.0000","12.2125","20.6176","20.1028","21.7684","18.8733","17.3058","15.1404","11.0000","11.0000","12.7558","11.0000","11.0000","12.6419","16.9070","17.1171","26.5004","17.8378","14.8745","13.0106","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2810","14.1201","17.6875","17.7761","13.0531","11.0000","13.5119","11.0000","11.0000","11.0000","11.0000","11.3384","16.3712","24.2450","31.0738","21.3625","19.5230","19.3750","25.9691","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7378","21.1988","19.2420","11.1379","11.4469","11.0000","11.0000","11.0000","11.0000","11.0000","11.2181","16.0322","26.4003","38.6631"
