"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_14_33_MBT_462_2#9#2023_A_18B_7.OKA","2/9/2023 10:45:50 AM","18-B","PM14A","TT12A","SAM129319","STECO157","MBT",0.0000,"29.2002","34.1099","47.1929","57.4270","16.5953","18.6909","17.9309","19.6408","21.1042","26.3626","31.9188","36.8263","24.6169","19.5019","15.4808","16.1795","15.1779","15.0347","11.0000","12.9217","11.5525","14.1136","15.2577","24.1242","20.6839","17.1977","15.9827","12.3009","12.1315","11.5208","11.0000","12.3436","11.0000","14.5010","16.8009","19.6567","19.7819","18.5301","20.6570","11.5634","11.3432","11.9849","11.0000","11.0000","12.0005","13.7427","16.3687","20.7168","19.3308","18.6917","15.3974","12.0400","11.0000","11.5330","11.0000","11.0000","12.2420","13.5179","30.1395","33.7631","15.8310","16.8492","14.0741","11.5439","11.0000","13.0008","11.0000","11.0000","13.0821","15.8473","42.4546","32.0417","29.2401","19.4673","13.3754","15.8248","11.0000","11.0000","11.0000","11.0626","11.0000","11.2170","14.2716","24.5519","14.3405","14.1800","11.0000","11.0000","11.0000","11.0000","11.9205","11.0000","12.3043","19.1563","34.1934","37.9597"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_14_33_MBT_462_2#9#2023_A_18B_7.OKA","2/9/2023 10:45:50 AM","18-B","PM14A","TT12A","SAM129319","STECO157","MBT",0.2500,"28.1749","32.8549","45.0940","63.6046","18.3004","17.9334","17.4921","19.1719","23.2230","29.3067","35.7498","39.6112","25.0041","20.5970","16.2652","20.9832","15.3504","13.5960","16.6085","11.8080","13.1781","16.1297","17.1995","22.9238","22.0563","18.7914","16.3163","14.6558","13.2667","11.0000","11.0000","13.6348","11.0000","13.8183","19.6372","25.8733","21.5947","15.9331","25.5225","11.0000","11.0000","11.0000","11.0000","11.0000","11.8174","14.1361","16.3843","23.7425","18.1142","12.9044","14.5401","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8797","13.7163","31.3680","17.5642","11.6543","12.3644","11.0000","11.0000","11.0000","11.0000","11.0000","13.5043","20.3343","41.8107","36.9634","23.7762","23.2096","17.9590","16.9809","11.0000","11.0000","11.0000","11.4685","11.0000","11.0000","17.5208","21.5000","23.6513","14.3649","15.4888","14.2953","13.1506","18.6710","11.0000","13.3449","15.8525","25.9485","46.6669","43.5446"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_14_33_MBT_462_2#9#2023_A_18B_7.OKA","2/9/2023 10:45:50 AM","18-B","PM14A","TT12A","SAM129319","STECO157","MBT",0.5000,"27.9082","33.9941","52.5800","67.8943","19.1516","17.9758","18.3179","19.5706","23.0840","30.6603","38.9242","44.1091","30.5972","22.0558","23.1420","24.4744","18.1464","16.2784","18.0217","15.3849","15.3081","18.5519","19.2842","27.5940","22.6061","23.9836","21.4074","15.8476","14.5761","11.0000","11.8360","15.7493","15.9667","17.6873","36.1556","25.2273","24.3414","17.9871","23.0807","11.0000","11.0313","11.0000","11.0000","13.3115","12.7820","13.8631","17.2620","25.3484","18.9424","15.2263","15.6596","11.0000","11.0000","11.0000","11.0000","11.0000","12.4567","11.3061","13.3474","22.0642","22.8393","13.4499","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9376","20.0634","38.0408","41.1615","26.8978","26.7580","22.6863","17.9741","11.0000","11.0000","11.0000","12.0927","23.0321","14.3022","16.5085","21.6279","28.7083","18.6668","21.8051","19.1881","12.9509","23.8539","11.4737","17.4042","20.3154","42.8937","49.8616","54.9981"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_14_33_MBT_462_2#9#2023_A_18B_7.OKA","2/9/2023 10:45:50 AM","18-B","PM14A","TT12A","SAM129319","STECO157","MBT",0.7500,"28.3339","34.5745","47.7818","65.6420","16.2199","20.2879","18.6675","19.0818","23.7578","30.5884","45.4053","43.1303","29.3984","19.9673","19.5241","25.9887","16.7342","16.8553","17.1851","14.6230","15.0406","15.0692","16.7047","22.6170","23.2261","17.6196","15.2261","14.7955","13.8807","12.0701","12.4537","13.3560","13.5918","14.9622","17.1577","25.7847","22.0583","12.8540","23.2271","11.0000","11.0000","11.0000","11.0000","11.0000","11.9423","12.4200","15.0387","23.0674","17.1470","12.9657","15.7962","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5618","11.0000","20.9540","20.9212","11.6256","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4302","20.8766","34.3446","40.4274","28.8818","27.1055","22.6228","21.3533","11.0000","11.0000","11.0000","11.0000","49.0279","11.0000","14.8537","27.3212","27.7315","19.6997","21.2016","19.8908","17.6386","21.0586","11.1265","15.2897","17.7421","30.5654","45.5713","50.3135"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_14_33_MBT_462_2#9#2023_A_18B_7.OKA","2/9/2023 10:45:50 AM","18-B","PM14A","TT12A","SAM129319","STECO157","MBT",1.0000,"27.8092","33.2833","49.8766","67.9974","19.4625","19.8926","19.9108","20.1027","26.9053","28.1855","43.6283","50.2523","32.0768","20.6542","18.8470","27.2783","15.8665","13.1915","11.7192","16.1220","13.5385","13.2325","13.5840","25.7031","17.6249","18.8698","16.0101","12.5856","12.5334","11.0000","11.2477","11.0000","14.8784","13.3052","16.4178","24.6519","23.8835","17.0839","23.4590","11.0000","11.0000","11.0000","11.0000","11.0000","13.6914","13.7740","15.5149","24.5215","16.8293","12.2204","15.7919","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5307","23.3540","24.4848","12.6743","12.5257","11.0000","11.0000","11.0000","11.0000","11.0000","13.7476","20.5241","31.7658","38.8655","27.5880","28.4635","25.7035","20.4394","11.0000","11.0000","11.0000","11.0000","11.0000","12.3935","16.9646","29.8280","22.4494","18.5724","17.6972","15.3571","12.9581","22.8421","11.0000","15.9053","19.4045","25.2792","41.5530","49.0249"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_14_33_MBT_462_2#9#2023_A_18B_7.OKA","2/9/2023 10:45:50 AM","18-B","PM14A","TT12A","SAM129319","STECO157","MBT",1.2500,"29.2126","34.8676","50.0626","66.5463","20.6912","21.7135","20.7916","19.9596","25.3751","31.3349","45.7259","42.1521","21.7377","18.6054","16.6189","29.6585","17.1423","13.1281","15.6131","14.3745","14.5417","15.9305","17.5714","24.1319","19.9174","18.2210","17.0403","13.8624","15.6808","13.0134","13.8695","12.2264","13.8364","13.6275","17.3729","26.4302","20.4936","15.0315","22.5762","11.0000","11.0000","11.0000","11.0000","11.0000","13.2405","12.8696","13.5346","24.5263","18.1437","13.9898","12.3961","11.0000","11.0000","11.0000","11.0000","11.0000","12.4863","11.0000","12.9767","23.6874","21.6438","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1040","20.9349","32.4205","34.3185","29.4187","26.7605","24.9020","21.2456","11.0000","11.0000","11.0000","11.0000","11.0000","11.2176","16.1696","33.5372","24.9952","19.8633","16.5182","19.3647","15.9770","22.2448","11.2837","15.9195","19.0535","25.8332","41.6056","48.6185"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_14_33_MBT_462_2#9#2023_A_18B_7.OKA","2/9/2023 10:45:50 AM","18-B","PM14A","TT12A","SAM129319","STECO157","MBT",1.5000,"28.2639","34.7279","46.5079","70.6385","18.7284","21.0450","18.4611","19.3724","21.4544","26.7029","42.7058","44.6908","23.2813","20.5853","17.2582","29.5334","16.9684","15.6460","13.5604","15.7735","14.3093","17.8725","14.9095","21.3740","22.2320","17.3063","14.8453","14.5505","11.9517","11.4283","11.0000","12.8988","11.6933","13.9300","17.1821","22.0960","21.1576","11.9417","21.7677","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2956","15.2133","22.6410","20.1864","13.4764","13.0626","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5789","21.4294","22.6618","11.0000","11.6197","11.0000","11.0000","11.0000","11.0000","11.0000","11.2154","19.8191","29.7870","37.0691","26.8447","24.7474","26.8200","19.9521","11.0000","11.0000","11.0000","11.0000","11.0000","12.1480","17.0527","30.5226","28.0137","21.4792","20.5847","19.5763","16.4128","27.7105","11.4109","17.4666","22.6816","28.5370","43.2089","49.5262"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_14_33_MBT_462_2#9#2023_A_18B_7.OKA","2/9/2023 10:45:50 AM","18-B","PM14A","TT12A","SAM129319","STECO157","MBT",1.7500,"27.7099","32.9553","47.7198","66.1353","18.9112","17.1313","17.9164","21.4896","22.1571","33.5353","43.6166","45.5473","23.7639","20.6563","16.5974","26.9363","16.6630","12.7290","11.4383","14.7602","16.2205","17.0866","17.8514","24.7652","20.3560","19.3831","15.8327","14.4505","16.4670","11.0000","11.4957","15.8081","11.9360","13.0333","17.5514","24.7989","20.9366","16.1898","20.2702","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3130","15.4239","23.1215","19.0237","13.2082","13.8912","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0612","11.0000","23.1218","15.8131","11.0000","12.3351","11.0000","11.0000","11.0000","11.0000","11.2788","11.4597","20.0816","26.0397","32.4256","25.1555","25.9823","24.6978","23.2017","11.0000","11.0000","11.0000","11.1879","11.0000","12.8907","18.3464","33.8703","26.7115","18.5772","16.2469","20.6183","19.4174","24.8244","14.1084","16.3650","19.7693","26.1819","39.1601","44.9739"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_14_33_MBT_462_2#9#2023_A_18B_7.OKA","2/9/2023 10:45:50 AM","18-B","PM14A","TT12A","SAM129319","STECO157","MBT",2.0000,"29.0141","35.5989","48.4507","66.0836","16.6017","19.5210","23.3418","20.6712","27.4167","30.6149","43.7705","51.8270","24.4916","20.6056","16.5600","27.8557","15.2831","16.9881","14.3438","11.8084","13.1189","16.6500","15.2957","26.1732","22.6480","18.2783","15.7202","15.7064","14.0346","11.0000","11.0000","11.1231","13.5590","12.2603","16.1793","26.7340","21.1064","16.2161","22.2154","11.0000","11.0000","11.0000","11.0000","11.0000","12.5433","14.1177","12.9612","24.2541","20.9430","14.7843","13.1473","14.3643","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.3347","22.6052","12.3414","14.4274","11.0000","11.0000","11.0000","11.0000","12.6419","12.0437","20.8032","26.6901","34.6242","27.3771","28.6888","24.9240","24.1211","11.0000","11.0000","11.0000","12.2249","11.0000","14.3181","20.9709","34.7548","27.8681","22.6554","21.8387","23.0570","23.0964","26.8523","11.0000","17.4772","26.3215","25.3002","41.9949","46.1401"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_14_33_MBT_462_2#9#2023_A_18B_7.OKA","2/9/2023 10:45:50 AM","18-B","PM14A","TT12A","SAM129319","STECO157","MBT",2.2500,"27.9247","33.1204","45.2407","67.1155","19.3647","20.0963","18.8756","19.3025","24.2344","29.1167","40.3040","51.6981","24.1633","17.8783","17.3968","28.5351","17.2247","14.6085","13.7176","12.3023","11.4298","14.9968","14.1370","24.1849","19.4137","17.0741","16.3297","15.5242","13.4181","11.0000","11.0000","11.0000","11.6344","11.8100","18.0528","24.9449","17.0915","12.5979","21.2129","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8438","23.6732","16.9240","12.9290","11.8844","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4915","22.6856","20.6733","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7696","17.6978","23.6430","29.1859","28.8588","28.6875","25.3409","26.4919","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7995","29.9690","26.2068","18.7531","19.0433","19.4810","17.1665","24.4058","12.8360","15.3942","17.3032","24.9692","37.0933","44.6103"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_14_33_MBT_462_2#9#2023_A_18B_7.OKA","2/9/2023 10:45:50 AM","18-B","PM14A","TT12A","SAM129319","STECO157","MBT",2.5000,"28.1967","31.9932","43.6098","64.0378","15.8603","19.7946","19.5019","18.9116","23.0545","27.5082","41.2010","48.0149","21.6228","17.8603","19.9432","30.5887","15.8892","14.1195","14.7038","13.2641","12.7166","13.0833","18.0164","22.4653","19.9506","17.4157","14.6493","15.7847","11.7065","11.0000","11.0000","12.4100","12.9634","13.2112","18.1906","24.6930","20.7640","12.9791","20.9473","11.0000","11.7180","11.0000","11.0000","11.0000","11.6079","11.0000","14.2284","23.3775","17.7612","14.9633","11.4454","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7941","25.0084","19.0673","12.1504","12.3939","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0068","24.3021","31.9680","29.1658","27.5376","24.3441","25.4908","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7206","32.4685","25.2376","19.7282","16.4356","18.2251","15.8843","21.8154","11.0000","14.0571","18.3099","21.0184","34.6515","40.6291"
"C:\Users\Area25 Feed\Desktop\Biolog\TT12A_SAM129319_STECO157_MBT_14_33_MBT_462_2#9#2023_A_18B_7.OKA","2/9/2023 10:45:50 AM","18-B","PM14A","TT12A","SAM129319","STECO157","MBT",2.7500,"29.8302","33.5014","48.0174","65.3108","17.5932","17.5820","18.4441","18.9592","24.5029","27.4093","40.9135","53.3038","23.6737","22.3613","19.4533","31.8257","17.4582","13.6223","14.2448","13.5714","13.3567","13.7544","14.5414","26.1592","20.5853","15.3380","15.0774","15.9865","14.0961","11.9783","12.3323","11.3980","11.0000","13.4177","19.4209","25.3279","17.7579","13.1915","23.2927","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5452","14.9864","21.9167","16.1903","15.2439","15.0023","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1894","24.0556","23.6404","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9688","17.7780","24.0485","29.2362","29.2272","25.9398","28.4726","26.7086","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4593","29.2662","25.5543","17.1535","21.7439","21.1393","19.4550","29.3693","12.5146","18.2397","21.0176","24.2100","38.2397","42.4891"
