"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_13_33_PMX_462_2#22#2023_A_13A_6.OKA","2/22/2023 4:35:28 PM","13-A","PM13B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.0000,"50.5550","42.2229","26.6817","15.5455","13.5970","11.0000","18.0135","61.6714","17.8397","11.0000","16.1631","21.8799","44.2904","23.6998","18.2130","11.1292","11.0000","11.0000","11.0000","11.0000","14.3423","11.5317","15.3764","19.3135","21.3297","14.1862","11.0000","11.0000","11.0000","11.0000","11.0000","12.8613","11.0000","15.5239","19.6948","26.5712","35.3409","22.5696","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5813","14.7343","16.0311","22.4120","48.3018","42.3369","13.0878","15.1667","11.0000","11.0000","11.0000","12.7662","14.3735","17.7362","20.6131","40.5821","31.5014","24.5937","15.1993","22.2029","17.6358","12.0463","12.1764","11.8338","11.0306","15.7670","17.3843","19.7763","34.7787","24.9739","22.2136","22.2196","39.9039","65.0622","61.7817","55.9064","13.4651","16.3035","16.5819","20.9814","38.4352","38.6735","34.4266","38.1525","25.1636","21.0562","17.7771","20.3121","19.5655","20.5959","27.3296","27.9916"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_13_33_PMX_462_2#22#2023_A_13A_6.OKA","2/22/2023 4:35:28 PM","13-A","PM13B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.2500,"24.3834","14.9527","11.0000","11.0000","11.0000","11.0000","11.0000","45.6990","11.0000","13.3958","20.8037","25.6603","19.6329","13.2527","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3776","18.3516","20.3662","15.5830","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8965","11.6780","16.2316","22.0693","34.7781","17.3930","12.9547","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2764","14.0600","19.1059","21.9666","29.2442","21.1090","15.1026","11.0000","11.0000","11.3394","11.0000","11.0000","14.3561","17.9246","23.0301","42.9762","22.8454","14.3326","19.4223","21.7192","14.2808","13.9516","12.5194","12.8566","12.8047","16.3509","17.9410","18.4155","29.6816","18.0677","15.7665","23.5108","46.6203","61.7739","54.4270","62.6517","13.0271","13.5222","19.7709","19.1427","29.7632","32.3320","35.2110","35.2874","23.6784","20.1438","20.3655","14.9761","20.1770","23.0236","22.8262","27.9245"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_13_33_PMX_462_2#22#2023_A_13A_6.OKA","2/22/2023 4:35:28 PM","13-A","PM13B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.5000,"24.3495","14.6496","11.0000","11.0000","11.0000","11.0000","11.0000","46.5654","11.0000","13.9239","18.3042","24.0423","20.4772","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0027","17.4661","19.4684","16.2562","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0528","11.0000","12.5211","19.6615","33.1370","22.0012","13.2203","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5959","19.1192","70.6124","33.0265","22.6390","16.4904","11.0000","11.0000","11.0000","11.0000","14.3811","11.3365","11.9646","25.6927","49.3738","23.2683","14.1481","18.9078","16.8441","12.3177","11.9212","11.0000","11.4020","13.2010","14.4093","19.0667","19.2533","27.5159","18.1796","16.6211","25.2139","40.5716","50.4436","54.2983","60.4422","14.9461","13.3379","17.7682","20.3430","29.4139","31.5010","38.7523","42.2037","20.8703","19.8017","16.6515","18.3921","18.9934","20.4840","25.0313","23.5759"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_13_33_PMX_462_2#22#2023_A_13A_6.OKA","2/22/2023 4:35:28 PM","13-A","PM13B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",0.7500,"28.6693","14.5425","11.0000","11.0000","11.0000","11.0000","11.0000","46.7403","11.4060","14.0508","19.1303","25.6060","19.8844","11.4114","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2603","20.9912","18.0406","12.8232","11.0000","12.1217","11.0000","11.0000","11.0000","15.3895","15.3199","15.8362","20.1202","34.1024","22.0390","11.4342","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2951","24.7560","85.7735","32.6016","13.7229","14.7228","11.0000","11.0000","12.0181","11.0000","11.0000","11.8556","16.8623","30.7269","58.6416","24.8682","16.3034","26.4922","15.2528","13.7914","11.0000","11.4666","12.6379","14.6720","16.4046","22.0827","21.3325","31.1811","17.7246","16.8850","33.0883","40.8010","48.7488","49.8045","56.7833","14.6064","16.1916","20.1120","22.7321","33.1550","36.3611","41.2294","46.1855","22.8334","21.3264","21.5781","17.9891","21.2372","20.7046","24.8711","26.7407"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_13_33_PMX_462_2#22#2023_A_13A_6.OKA","2/22/2023 4:35:28 PM","13-A","PM13B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.0000,"24.2911","15.5748","11.0000","11.0000","11.0000","11.0000","11.0000","45.1167","11.0000","12.3571","17.6081","23.7696","18.4627","11.3443","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1343","23.9862","16.6429","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6406","11.0000","12.4932","18.6409","34.8070","20.6375","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6169","29.5309","26.3618","31.9402","11.0000","12.0766","11.0000","11.0000","11.0000","11.0000","11.0000","11.8898","14.4242","33.7366","60.7347","24.2110","15.8292","20.9322","11.1247","15.2552","12.9111","11.0000","11.0000","11.7973","13.9253","18.0035","16.4152","29.7491","16.7654","17.9861","68.6161","34.6213","49.5374","49.5137","48.7427","12.4125","15.0230","17.5399","21.4433","30.5258","31.8246","36.5623","48.0801","20.4282","16.8532","16.8562","18.6777","19.0319","23.7693","22.6464","24.7815"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_13_33_PMX_462_2#22#2023_A_13A_6.OKA","2/22/2023 4:35:28 PM","13-A","PM13B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.2500,"30.0454","20.3196","11.0000","11.0000","11.0000","11.0000","11.0000","88.1867","11.0000","13.8308","19.2176","26.4324","25.4462","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3429","12.8677","11.5361","14.6230","21.8768","15.8505","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4989","13.6770","13.3566","20.5401","34.9885","21.4060","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4598","11.5349","22.1982","26.0456","38.2444","15.7377","13.3717","11.0000","11.3736","12.0547","11.0000","11.0000","13.7866","17.2413","34.1727","62.5787","25.8241","16.9868","23.1863","14.4805","15.5190","11.0000","11.0000","11.0000","12.7454","18.6999","17.9283","19.5202","27.8383","21.7361","20.6280","60.2066","33.3943","55.8103","43.1426","42.1431","13.9336","13.8168","20.3086","23.3819","32.1061","31.2042","35.7907","46.7448","22.0086","19.3877","17.9941","18.1527","19.2106","20.3489","24.0450","27.3979"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_13_33_PMX_462_2#22#2023_A_13A_6.OKA","2/22/2023 4:35:28 PM","13-A","PM13B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.5000,"26.5112","19.3799","11.0000","11.0000","11.0000","11.0000","11.0000","48.4889","11.0000","14.9731","17.7195","23.2999","22.3383","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5499","20.1481","17.6252","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2747","11.0000","15.3469","19.5161","33.8323","23.3889","11.4022","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4461","19.7226","24.4673","39.8178","12.6339","11.0000","11.0000","11.0000","11.4946","11.0000","11.0000","11.5220","15.1099","32.0343","59.5575","22.6233","15.1539","23.6643","11.0000","14.2784","11.0000","11.6532","11.0000","12.7817","16.9053","18.1722","21.7826","30.2896","18.3541","21.2380","53.3151","34.9105","61.8759","39.2600","41.6264","11.1565","14.7868","16.7933","21.3004","30.6078","29.9392","37.7776","47.3966","20.7263","20.5610","18.2522","16.1716","20.6141","22.0791","25.3324","26.7608"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_13_33_PMX_462_2#22#2023_A_13A_6.OKA","2/22/2023 4:35:28 PM","13-A","PM13B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",1.7500,"29.1184","19.2711","11.0000","11.0000","11.0000","11.0000","11.0000","50.6842","11.2187","14.3995","17.5947","23.9140","20.5016","11.3774","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5254","11.0000","15.8524","20.8935","15.1005","12.3134","11.0000","11.0000","11.0000","11.0000","11.0000","18.1470","12.1082","15.7954","20.1591","35.0872","21.3498","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2613","19.9121","23.1936","32.2023","15.4190","11.0000","11.0000","11.0000","11.0000","11.0000","11.4329","13.7587","16.1287","32.4893","62.0671","25.1075","15.1936","24.6875","13.6899","12.2589","12.2922","11.0000","11.0000","12.5081","15.4204","16.9561","18.8806","29.5369","18.6953","20.9629","54.0629","32.9246","63.3546","42.9717","40.2765","11.0000","14.5305","17.4125","20.0952","30.3037","28.3933","37.6997","48.6517","22.3098","21.2765","19.3241","15.3998","18.7542","22.4276","24.9882","23.9318"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_13_33_PMX_462_2#22#2023_A_13A_6.OKA","2/22/2023 4:35:28 PM","13-A","PM13B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",2.0000,"24.0925","18.4831","11.0000","11.0000","11.0000","11.0000","11.0000","44.3736","12.4385","13.7458","19.6709","23.7985","21.1247","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0237","20.5559","18.3350","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3651","12.0787","14.2407","18.9728","31.8114","18.4429","12.7355","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4726","15.4176","21.8249","27.8498","34.2096","14.0634","11.2846","11.0000","11.0000","11.0000","11.0000","11.0000","13.7490","17.3744","31.7309","63.8281","25.3730","13.4647","30.6664","11.4049","11.8611","11.0000","11.0000","11.0000","15.5486","16.5812","15.0999","20.2557","29.2915","17.0818","20.2236","51.7416","33.0727","73.1338","45.2701","41.5442","11.2503","14.9606","20.4272","22.7269","31.7814","30.3954","39.9973","49.6227","21.7171","19.3988","18.4733","17.6426","19.8620","19.4906","23.5677","26.4769"
"C:\Users\Area25 Feed\Desktop\Biolog\WG5-TT12A_SAM129332_Lysogenic WGT with TT12A converting phage_MBT_13_33_PMX_462_2#22#2023_A_13A_6.OKA","2/22/2023 4:35:28 PM","13-A","PM13B","WG5-TT12A","SAM129332","Lysogenic WGT with TT12A converting phage","MBT",2.2500,"25.5617","19.3354","11.0000","11.0000","11.0000","11.0000","11.1583","47.4518","11.0000","14.7181","19.3902","23.3859","21.1310","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1557","11.0000","14.9360","21.1616","17.0314","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4946","11.4934","15.5154","18.1153","35.4184","23.9273","15.6160","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7719","23.4072","26.7729","34.9677","13.9604","12.1716","11.0000","11.0000","11.0310","11.0000","11.0000","11.7327","16.8873","28.6486","63.1290","26.8533","17.8625","28.6036","11.0000","15.1825","12.7548","11.0000","11.0000","14.4262","14.5944","19.2776","19.7862","29.8815","19.7780","20.1783","52.6347","32.1598","73.0393","42.8971","42.7089","14.7969","13.4388","15.5190","20.9742","30.3327","27.1800","37.0402","48.5674","20.1941","21.1737","17.2375","16.2831","17.7886","21.0590","25.4047","25.5888"
